Wall time,Step,Value
1728311428.928014,22953,4.261158466339111
1728311472.085026,22993,4.087228775024414
1728312314.2692878,23033,3.844266414642334
1728312420.7254272,23073,3.765385627746582
1728312520.7345457,23113,3.6464929580688477
1728312590.8467245,23153,3.6695210933685303
1728312728.8073092,23193,3.5354340076446533
1728312844.9254677,23233,3.5228960514068604
1728313083.3790996,23273,3.5241129398345947
1728313248.0677805,23313,3.4861814975738525
1728313291.8773358,23353,3.426989793777466
1728313335.2188685,23393,3.3588976860046387
1728313457.3844185,23433,3.437192440032959
1728313507.9314353,23473,3.3515498638153076
1728313551.0749445,23513,3.362978219985962
1728313590.168361,23553,3.3374698162078857
1728313637.359562,23593,3.2796316146850586
1728314066.262237,23633,3.3061182498931885
1728314113.1770318,23673,3.2919116020202637
1728314163.2648857,23713,3.2863123416900635
1728314209.093787,23753,3.2781593799591064
1728314326.9154582,23793,3.2846689224243164
1728314719.830229,23833,3.24314546585083
1728314766.5145273,23873,3.248217821121216
1728314805.1361423,23913,3.1962387561798096
1728314849.508274,23953,3.2007453441619873
1728315590.4160824,23993,3.183945655822754
1728315662.1841667,24033,3.2141757011413574
1728316090.0732267,24073,3.2175662517547607
1728316877.3553543,24113,3.1928744316101074
1728316917.3841054,24153,3.1979100704193115
1728316956.2241428,24193,3.190751552581787
1728316995.1385562,24233,3.1699295043945312
1728317039.8579726,24273,3.1776349544525146
1728317087.1113408,24313,3.1576106548309326
1728317130.1054106,24353,3.1688156127929688
1728317171.3483853,24393,3.155137777328491
1728317214.3008614,24433,3.1366970539093018
1728317257.346172,24473,3.137409210205078
1728317296.0020907,24513,3.1509416103363037
1728317334.70788,24553,3.1494016647338867
1728317373.8570616,24593,3.1387736797332764
1728317412.6140149,24633,3.1396188735961914
1728317451.494197,24673,3.136018991470337
1728317490.1945221,24713,3.1132378578186035
1728317533.1529787,24753,3.1306281089782715
1728317574.421221,24793,3.125549793243408
1728317613.2710607,24833,3.128970146179199
1728317652.1874769,24873,3.098304510116577
1728317695.655445,24913,3.1015443801879883
1728317734.4697003,24953,3.0982933044433594
1728317773.138752,24993,3.1048600673675537
1728317812.127829,25033,3.096346855163574
1728317855.4921207,25073,3.1175193786621094
1728317894.8372977,25113,3.1410231590270996
1728317934.026177,25153,3.1127846240997314
1728317975.716396,25193,3.0972342491149902
1728318019.2874424,25233,3.106764316558838
1728318058.1795464,25273,3.13018798828125
1728318096.95979,25313,3.1022911071777344
1728318135.7759337,25353,3.0851852893829346
1728318178.7073874,25393,3.0895447731018066
