Wall time,Step,Value
1728036158.014304,200,10.56356430053711
1728036348.0457537,401,9.452146530151367
1728036537.9077775,602,9.137436866760254
1728036727.9285784,803,9.865776062011719
1728036913.2879786,1004,9.69078540802002
1728037098.8372872,1205,8.904393196105957
1728037289.2757933,1406,9.75534725189209
1728037474.2199066,1607,8.692950248718262
1728037663.6449425,1808,8.600141525268555
1728037852.413798,2009,8.846210479736328
1728038037.9383137,2210,8.591238021850586
1728038227.3280258,2411,8.467021942138672
1728038416.5737917,2612,7.911852836608887
1728038605.7404466,2813,8.279683113098145
1728038790.6858644,3014,8.3873291015625
1728038975.8068857,3215,8.564105033874512
1728039160.87516,3416,7.838775157928467
1728039349.993657,3617,7.765569686889648
1728039539.0244596,3818,8.015790939331055
1728039724.118708,4019,7.507323741912842
1728039913.549756,4220,7.75651216506958
1728040098.7478735,4421,7.095139980316162
1728040288.8137631,4622,7.550234317779541
1728040474.9867532,4823,7.432608604431152
1728040660.3066037,5024,6.558906555175781
1728040849.7832193,5225,6.9710893630981445
1728041034.738225,5426,7.070001602172852
1728041219.9494023,5627,6.759973526000977
1728041405.050179,5828,6.700689792633057
1728041590.0448477,6029,6.320431232452393
1728041779.7326224,6230,6.376783847808838
1728041965.4750865,6431,6.110773086547852
1728042155.1137466,6632,6.326685428619385
1728042340.3973553,6833,6.033989429473877
1728042529.902932,7034,5.994624137878418
1728042719.3108199,7235,6.117804527282715
1728042904.5235543,7436,5.865598678588867
1728043094.2205045,7637,6.1754021644592285
1728043280.0036263,7838,5.97868013381958
1728043465.8944356,8039,5.770768165588379
1728043656.0552082,8240,5.762824535369873
1728043845.4242523,8441,5.729625701904297
1728044034.6519463,8642,5.601405143737793
1728044224.246243,8843,5.644091606140137
1728044409.5217485,9044,5.475416660308838
1728044599.5286467,9245,5.549680709838867
1728044785.1906328,9446,5.509642124176025
1728044970.9465468,9647,5.69851541519165
1728045155.9943228,9848,5.544841766357422
1728045341.2347846,10049,5.5525689125061035
1728045527.1608205,10250,5.498446464538574
1728045712.7111979,10451,5.447174549102783
1728045902.2537293,10652,5.437972068786621
1728046091.8459587,10853,5.412239074707031
1728046281.6524165,11054,5.442671775817871
1728046466.8530424,11255,5.373674392700195
1728046656.9813085,11456,5.496556282043457
1728046842.5151632,11657,5.349095344543457
1728047032.6477664,11858,5.3856048583984375
1728047218.1740046,12059,5.368203163146973
1728047404.0265498,12260,5.4727559089660645
1728047589.4529138,12461,5.41140079498291
1728047774.847803,12662,5.345887184143066
1728047964.523141,12863,5.351753234863281
1728048150.1727195,13064,5.306483745574951
1728048341.261312,13265,5.399225234985352
1728048527.3392563,13466,5.34662389755249
1728048713.2974913,13667,5.321698188781738
1728048903.7760408,13868,5.366820812225342
1728049089.5070343,14069,5.337562084197998
1728049275.9543273,14270,5.340101718902588
1728049461.9198415,14471,5.340953826904297
1728049647.6427627,14672,5.2864885330200195
1728049838.2120874,14873,5.348752498626709
1728050024.111117,15074,5.3959150314331055
1728050209.9626207,15275,5.290746688842773
1728050395.8611143,15476,5.292389392852783
1728050581.6868582,15677,5.348544120788574
1728050767.3129678,15878,5.360165119171143
1728050953.4982047,16079,5.329415321350098
1728051140.0926185,16280,5.359086513519287
1728051326.2297566,16481,5.346713066101074
1728051511.960309,16682,5.301444053649902
1728051698.1698523,16883,5.246255397796631
1728051888.6539063,17084,5.258290767669678
1728052074.3171947,17285,5.27157735824585
1728052260.0973177,17486,5.321215629577637
1728052445.9111147,17687,5.286622047424316
1728052631.4873648,17888,5.31663179397583
1728052817.1882708,18089,5.293706893920898
1728053003.3127522,18290,5.308088779449463
1728053189.298199,18491,5.324573040008545
1728053374.8639727,18692,5.711932182312012
1728053560.8014984,18893,5.261114120483398
1728053746.6650448,19094,5.297691345214844
1728053932.7435644,19295,5.26755428314209
1728054118.8745084,19496,5.233373641967773
1728054309.6020448,19697,5.222127914428711
1728054499.6754122,19898,5.218552112579346
1728054689.7559743,20099,5.237375259399414
1728054875.5709283,20300,5.214877605438232
1728055064.8987873,20501,5.246548175811768
1728055250.3949578,20702,5.215768814086914
1728055440.4932518,20903,5.222805023193359
1728055626.1045055,21104,5.213402271270752
1728055815.5998838,21305,5.228675842285156
1728056000.8562636,21506,5.205761432647705
1728056190.5138226,21707,5.217092990875244
1728056375.9552147,21908,5.209377288818359
1728056560.9813266,22109,5.246967792510986
1728056746.3985646,22310,5.249061584472656
1728056931.2455614,22511,5.211716651916504
1728057116.1573637,22712,5.222094535827637
1728057301.0698178,22913,5.205685615539551
1728057490.114091,23114,5.206413745880127
